ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
319,คำสำคัญ หรือ Keywords ในบทคัดย่อ มีไว้ทำไมคะ,คำสำคัญ (Keywords) เป็นคำหลักที่ระบุไว้เพื่อประโยชน์ในการทำดรรชนีสำหรับการสืบค้นข้อมูลบนอินเทอร์เน็ต,"บทคัดย่อ, คำสำคัญ, Keywords, การสืบค้นข้อมูล","คีเวิด, คีย์เวิร์ด",บทที่ 2 หน้า 9
320,การเขียนบทคัดย่อ ควรใช้รูปประโยคแบบไหนครับ,ควรใช้ประโยคสมบูรณ์ กระชับ ชัดเจน และแนะนำให้ใช้รูปประโยคแบบอกรรมกริยา (Intransitive Verb) มากกว่าสกรรมกริยา (Transitive Verb) ,"การเขียนบทคัดย่อ, รูปประโยค, อกรรมกริยา","เขียนบทคัดย่อ, ประโยค",บทที่ 2 หน้า 9
321,การเขียนถึงวิธีวิจัยและผลการวิจัยในบทคัดย่อภาษาอังกฤษ ควรใช้ Tense อะไรคะ,ควรใช้คำที่เป็นอดีตกาล (Past Tense) เมื่อกล่าวถึงวิธีดำเนินการวิจัยและผลการวิจัย,"บทคัดย่อภาษาอังกฤษ, วิธีวิจัย, ผลการวิจัย, Past Tense","แกรมม่า, อดีตกาล",บทที่ 2 หน้า 9
322,การสรุปและข้อเสนอแนะในบทคัดย่อภาษาอังกฤษ ควรใช้ Tense อะไรครับ,ควรใช้คำที่เป็นปัจจุบันกาล (Present Tense) เมื่อสรุปและนำผลการวิจัยไปประยุกต์ใช้,"บทคัดย่อภาษาอังกฤษ, สรุปผล, Present Tense","แกรมม่า, ปัจจุบันกาล",บทที่ 2 หน้า 9
323,การเขียนขอบคุณบุคคลในกิตติกรรมประกาศ ใช้ชื่อเล่นได้ไหมคะ,ไม่สามารถใช้ชื่อเล่นได้ครับ การระบุชื่อบุคคลให้ใช้ชื่อจริงพร้อมนามสกุลและคำนำหน้าชื่อ เพื่อความเป็นทางการและถูกหลักวิชาการ,"กิตติกรรมประกาศ, ชื่อบุคคล, ห้ามใช้ชื่อเล่น","ขอบคุณ, ชื่อเล่น",บทที่ 2 หน้า 9
324,ท้ายกิตติกรรมประกาศ ตรงชื่อผู้วิจัย ต้องใส่คำนำหน้าชื่อไหมครับ,ท้ายข้อความกิตติกรรมประกาศ ให้ระบุเพียงชื่อและนามสกุลผู้วิจัย โดยไม่ต้องระบุคำนำหน้าชื่อ (นาย นาง หรือนางสาว) ,"กิตติกรรมประกาศ, ชื่อผู้วิจัย, คำนำหน้าชื่อ","คำนำหน้า, ชื่อคนเขียน",บทที่ 2 หน้า 9
325,"คำว่า ""สารบัญ"" ที่อยู่กลางหน้ากระดาษ ต้องใช้ฟอนต์ขนาดเท่าไหร่คะ",ให้จัดพิมพ์ด้วยตัวอักษรขนาด 16 พอยต์ และใช้รูปแบบตัวหนา (Bold) ,"สารบัญ, ขนาดฟอนต์, ตัวหนา","ฟ้อนต์สารบัญ, ตัวทึบ",บทที่ 2 หน้า 9
326,หน้าสารบัญของวิทยานิพนธ์ภาษาอังกฤษ ใช้คำว่าอะไรครับ,"สำหรับวิทยานิพนธ์ภาษาอังกฤษ ให้ใช้คำว่า ""TABLE OF CONTENTS"" ","สารบัญ, ภาษาอังกฤษ, TABLE OF CONTENTS",สารบัญอังกฤษ,บทที่ 2 หน้า 9
327,สารบัญตาราง ในวิทยานิพนธ์ภาษาอังกฤษ ใช้คำว่าอะไรคะ,"สำหรับสารบัญตารางในวิทยานิพนธ์ภาษาอังกฤษ ให้ใช้คำว่า ""LIST OF TABLES"" ","สารบัญตาราง, ภาษาอังกฤษ, LIST OF TABLES",สารบัญตารางอังกฤษ,บทที่ 2 หน้า 9
328,สารบัญภาพ ในวิทยานิพนธ์ภาษาอังกฤษ ใช้คำว่าอะไรครับ,"สำหรับสารบัญภาพในวิทยานิพนธ์ภาษาอังกฤษ ให้ใช้คำว่า ""LIST OF FIGURES"" ","สารบัญภาพ, ภาษาอังกฤษ, LIST OF FIGURES",สารบัญภาพอังกฤษ,บทที่ 2 หน้า 10
